countryCode,country,confederation
CAN,Canada,concacaf
TKM,Turkmenistan,afc
LTU,Lithuania,uefa
CAM,Cambodia,afc
ETH,Ethiopia,caf
ARU,Aruba,concacaf
SWZ,Swaziland,caf
PLE,Palestine,afc
ARG,Argentina,conmebol
BOL,Bolivia,conmebol
CMR,Cameroon,caf
BFA,Burkina Faso,caf
GHA,Ghana,caf
KSA,Saudi Arabia,afc
JPN,Japan,afc
ASA,American Samoa,ofc
SVN,Slovenia,uefa
GUA,Guatemala,concacaf
BIH,Bosnia-Herzegovina,uefa
JOR,Jordan,afc
DMA,Dominica,concacaf
LBR,Liberia,caf
MDV,Maldives,afc
JAM,Jamaica,concacaf
OMA,Oman,afc
TAN,Tanzania,caf
ZAM,Zambia,caf
SEY,Seychelles,caf
GAB,Gabon,caf
SAM,Samoa,ofc
NZL,New Zealand,ofc
YEM,Yemen,afc
AND,Andorra,uefa
ALB,Albania,uefa
ENG,England,uefa
TPE,Chinese Taipei,afc
MAC,Macau,afc
UAE,United Arab Emirates,afc
GUM,Guam,afc
IND,India,afc
AZE,Azerbaijan,uefa
LES,Lesotho,caf
KEN,Kenya,caf
KOR,"Korea, South",afc
TJK,Tajikistan,afc
TUR,Turkey,uefa
AFG,Afghanistan,afc
BAN,Bangladesh,afc
MTN,Mauritania,caf
SOL,Solomon Islands,ofc
TCA,Turks and Caicos Islands,concacaf
SMR,San Marino,uefa
MNG,Mongolia,afc
FRA,France,uefa
BER,Bermuda,concacaf
SVK,Slovakia,uefa
SOM,Somalia,caf
PER,Peru,conmebol
LAO,Laos,afc
NOR,Norway,uefa
MWI,Malawi,caf
COK,Cook Islands,ofc
BEN,Benin,caf
CUB,Cuba,concacaf
MNE,Montenegro,uefa
TOG,Togo,caf
ARM,Armenia,uefa
TLS,Timor-Leste,afc
DOM,Dominican Republic,concacaf
UKR,Ukraine,uefa
BHR,Bahrain,afc
TGA,Tonga,ofc
FIN,Finland,uefa
LBY,Libya,caf
CAY,Cayman Islands,concacaf
CTA,Central African Republic,caf
TAH,Tahiti,ofc
MRI,Mauritius,caf
LIE,Liechtenstein,uefa
AUS,Australia,afc
VGB,British Virgin Islands,concacaf
MLI,Mali,caf
SWE,Sweden,uefa
RUS,Russia,uefa
BUL,Bulgaria,uefa
USA,United States,concacaf
ROU,Romania,uefa
ANG,Angola,caf
CHA,Chad,caf
RSA,South Africa,caf
CYP,Cyprus,uefa
QAT,Qatar,afc
MAS,Malaysia,afc
AUT,Austria,uefa
VIE,Vietnam,afc
MOZ,Mozambique,caf
UGA,Uganda,caf
HUN,Hungary,uefa
NIG,Niger,caf
BRA,Brazil,conmebol
FRO,Faroe Islands,uefa
GUI,Guinea,caf
PAN,Panama,concacaf
SCO,Scotland,uefa
CRC,Costa Rica,concacaf
LUX,Luxembourg,uefa
IRL,Ireland,uefa
BAH,Bahamas,concacaf
CIV,Cote d'Ivoire,caf
PAK,Pakistan,afc
WAL,Wales,uefa
NGA,Nigeria,caf
ECU,Ecuador,conmebol
CZE,Czech Republic,uefa
BLR,Belarus,uefa
IRN,Iran,afc
ALG,Algeria,caf
SLV,El Salvador,concacaf
CHI,Chile,conmebol
PUR,Puerto Rico,concacaf
BEL,Belgium,uefa
THA,Thailand,afc
HAI,Haiti,concacaf
BLZ,Belize,concacaf
HKG,Hong Kong,afc
SLE,Sierra Leone,caf
CHN,China,afc
GEO,Georgia,uefa
GAM,Gambia,caf
PHI,Philippines,afc
MDA,Moldova,uefa
MAR,Morocco,caf
CRO,Croatia,uefa
GNB,Guinea-Bissau,caf
SUI,Switzerland,uefa
GRN,Grenada,concacaf
IRQ,Iraq,afc
POR,Portugal,uefa
EST,Estonia,uefa
URU,Uruguay,conmebol
MEX,Mexico,concacaf
LIB,Lebanon,afc
UZB,Uzbekistan,afc
TUN,Tunisia,caf
DJI,Djibouti,caf
RWA,Rwanda,caf
ATG,Antigua and Barbuda,concacaf
ESP,Spain,uefa
COL,Colombia,conmebol
BDI,Burundi,caf
FIJ,Fiji,ofc
BRB,Barbados,concacaf
MAD,Madagascar,caf
ITA,Italy,uefa
BHU,Bhutan,afc
SDN,Sudan,caf
NEP,Nepal,afc
MLT,Malta,uefa
NED,Netherlands,uefa
SUR,Suriname,concacaf
AIA,Anguilla,concacaf
KUW,Kuwait,afc
ISR,Israel,uefa
IDN,Indonesia,afc
ISL,Iceland,uefa
VEN,Venezuela,conmebol
SEN,Senegal,caf
PNG,Papua New Guinea,ofc
TRI,Trinidad and Tobago,concacaf
ZIM,Zimbabwe,caf
GER,Germany,uefa
VAN,Vanuatu,ofc
DEN,Denmark,uefa
KAZ,Kazakhstan,uefa
POL,Poland,uefa
ERI,Eritrea,caf
KGZ,Kyrgyzstan,afc
NIR,Northern Ireland,uefa
MSR,Montserrat,concacaf
NCL,New Caledonia,ofc
SRI,Sri Lanka,afc
LVA,Latvia,uefa
SSD,South Sudan,caf
GUY,Guyana,concacaf
SYR,Syria,afc
HON,Honduras,concacaf
MYA,Myanmar,afc
EQG,Equatorial Guinea,caf
EGY,Egypt,caf
NCA,Nicaragua,concacaf
SIN,Singapore,afc
SRB,Serbia,uefa
BOT,Botswana,caf
CGO,Congo DR,caf
GRE,Greece,uefa
PAR,Paraguay,conmebol
NAM,Namibia,caf
COM,Comoros,caf
